ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00960,41980,1.000000000,1.000000000,1.000000000,1.000000000
00961,41980,1.000000000,1.000000000,1.000000000,1.000000000
00962,41980,1.000000000,1.000000000,1.000000000,1.000000000
00963,41980,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,1.000000000,1.000000000,1.000000000,1.000000000
00968,41980,1.000000000,1.000000000,1.000000000,1.000000000
00969,41980,1.000000000,1.000000000,1.000000000,1.000000000
00970,41980,1.000000000,1.000000000,1.000000000,1.000000000
00971,41980,1.000000000,1.000000000,1.000000000,1.000000000
00975,41980,0.000000000,1.000000000,1.000000000,1.000000000
00976,41980,1.000000000,1.000000000,1.000000000,1.000000000
00977,41980,1.000000000,1.000000000,1.000000000,1.000000000
00979,41980,1.000000000,1.000000000,1.000000000,1.000000000
00981,41980,1.000000000,1.000000000,1.000000000,1.000000000
00982,41980,1.000000000,1.000000000,1.000000000,1.000000000
00983,41980,1.000000000,1.000000000,1.000000000,1.000000000
00984,41980,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,1.000000000,1.000000000,1.000000000,1.000000000
00986,41980,1.000000000,1.000000000,1.000000000,1.000000000
00987,41980,1.000000000,1.000000000,1.000000000,1.000000000
00988,41980,1.000000000,1.000000000,1.000000000,1.000000000
01001,44140,1.000000000,1.000000000,1.000000000,1.000000000
01002,44140,1.000000000,1.000000000,1.000000000,1.000000000
01003,44140,1.000000000,1.000000000,1.000000000,1.000000000
01004,44140,1.000000000,1.000000000,1.000000000,1.000000000
01005,49340,1.000000000,1.000000000,1.000000000,1.000000000
01007,44140,1.000000000,1.000000000,1.000000000,1.000000000
01008,38340,0.070866142,0.050000000,0.000000000,0.062184874
01008,44140,0.929133858,0.950000000,1.000000000,0.937815126
01009,44140,0.000000000,1.000000000,1.000000000,1.000000000
01010,49340,0.023159145,0.000000000,0.000000000,0.022234892
01010,44140,0.976840855,1.000000000,1.000000000,0.977765108
01011,44140,1.000000000,1.000000000,1.000000000,1.000000000
01012,44140,1.000000000,1.000000000,1.000000000,1.000000000
01013,44140,1.000000000,1.000000000,1.000000000,1.000000000
01014,44140,1.000000000,1.000000000,1.000000000,1.000000000
01020,44140,1.000000000,1.000000000,1.000000000,1.000000000
01021,44140,1.000000000,1.000000000,1.000000000,1.000000000
01022,44140,1.000000000,1.000000000,1.000000000,1.000000000
01026,38340,0.044326241,0.000000000,0.041666667,0.042483660
01026,44140,0.955673759,1.000000000,0.958333333,0.957516340
01027,44140,1.000000000,1.000000000,1.000000000,1.000000000
01028,44140,1.000000000,1.000000000,1.000000000,1.000000000
01029,38340,0.000000000,0.000000000,1.000000000,1.000000000
01030,44140,1.000000000,1.000000000,1.000000000,1.000000000
01031,49340,1.000000000,1.000000000,1.000000000,1.000000000
01032,44140,1.000000000,1.000000000,1.000000000,1.000000000
01033,44140,1.000000000,1.000000000,1.000000000,1.000000000
01034,44140,1.000000000,1.000000000,1.000000000,1.000000000
01035,44140,1.000000000,1.000000000,1.000000000,1.000000000
01036,44140,1.000000000,1.000000000,1.000000000,1.000000000
01037,49340,0.000000000,1.000000000,1.000000000,1.000000000
01038,44140,1.000000000,1.000000000,1.000000000,1.000000000
01039,44140,1.000000000,1.000000000,1.000000000,1.000000000
01040,44140,1.000000000,1.000000000,1.000000000,1.000000000
01041,44140,1.000000000,1.000000000,1.000000000,1.000000000
01050,44140,1.000000000,1.000000000,1.000000000,1.000000000
01053,44140,1.000000000,1.000000000,1.000000000,1.000000000
01054,44140,1.000000000,1.000000000,1.000000000,1.000000000
01056,44140,1.000000000,1.000000000,1.000000000,1.000000000
01057,44140,1.000000000,1.000000000,1.000000000,1.000000000
01059,44140,0.000000000,1.000000000,0.000000000,1.000000000
01060,44140,1.000000000,1.000000000,1.000000000,1.000000000
01061,44140,1.000000000,1.000000000,1.000000000,1.000000000
01062,44140,1.000000000,1.000000000,1.000000000,1.000000000
01063,44140,0.000000000,1.000000000,1.000000000,1.000000000
01066,44140,0.000000000,1.000000000,1.000000000,1.000000000
01068,49340,1.000000000,1.000000000,1.000000000,1.000000000
01069,44140,1.000000000,1.000000000,1.000000000,1.000000000
01070,44140,0.979522184,1.000000000,1.000000000,0.979729730
01070,38340,0.020477816,0.000000000,0.000000000,0.020270270
01071,44140,1.000000000,1.000000000,1.000000000,1.000000000
01072,44140,1.000000000,1.000000000,1.000000000,1.000000000
01073,44140,1.000000000,1.000000000,1.000000000,1.000000000
01074,49340,0.000000000,1.000000000,1.000000000,1.000000000
01075,44140,1.000000000,1.000000000,1.000000000,1.000000000
01077,44140,1.000000000,1.000000000,1.000000000,1.000000000
01079,44140,0.000000000,1.000000000,1.000000000,1.000000000
01080,44140,1.000000000,1.000000000,1.000000000,1.000000000
01081,44140,1.000000000,1.000000000,1.000000000,1.000000000
01082,49340,0.049355798,0.032432432,0.006472492,0.045946890
01082,44140,0.950644202,0.967567568,0.993527508,0.954053110
01083,49340,0.000000000,0.000000000,1.000000000,1.000000000
01084,44140,1.000000000,0.000000000,1.000000000,1.000000000
01085,44140,1.000000000,1.000000000,1.000000000,1.000000000
01088,44140,1.000000000,1.000000000,1.000000000,1.000000000
01089,44140,1.000000000,1.000000000,1.000000000,1.000000000
01090,44140,1.000000000,1.000000000,1.000000000,1.000000000
01092,49340,0.000000000,0.000000000,1.000000000,1.000000000
01093,44140,0.000000000,0.000000000,1.000000000,1.000000000
01094,49340,0.000000000,1.000000000,1.000000000,1.000000000
01095,44140,1.000000000,1.000000000,1.000000000,1.000000000
01096,44140,1.000000000,1.000000000,1.000000000,1.000000000
01097,44140,0.000000000,0.000000000,1.000000000,1.000000000
01098,44140,1.000000000,1.000000000,1.000000000,1.000000000
01101,44140,1.000000000,1.000000000,1.000000000,1.000000000
01103,44140,1.000000000,1.000000000,1.000000000,1.000000000
01104,44140,1.000000000,1.000000000,1.000000000,1.000000000
